season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2016,Abilene Chrstn,9,103.293779,103.855434,69.779839,3.358187,1.325927,0,1,2,0,0.4129,0,0.366667,0.193234,0.271443,0.728557,0.383216,0.547341,0.107712,0.036058,0.334507,0.347103,0.34208,0.377765
2016,Adams St,11,89.291688,111.899576,75.55,20.648086,-4.151921,0,0,0,0,0.013463,0,0.235294,0.191926,0.296875,0.703125,0.290323,0.608696,0.066181,0.019854,0.41129,0.378054,0.374815,0.341304
2016,Air Force,7,102.442673,99.856074,69.807031,12.712346,8.00609,4,5,0,0,0.402661,0,0.338926,0.189361,0.255646,0.744354,0.402162,0.558511,0.087742,0.025964,0.339022,0.371965,0.335571,0.384536
2016,AK-Anchorage,7,111.608396,104.34195,71.158333,11.049836,7.516501,0,1,0,0,0.385582,0,0.351064,0.121794,0.333333,0.666667,0.452514,0.7,0.089003,0.014053,0.52514,0.346963,0.340947,0.374673
2016,Akron,3,114.779028,97.038258,69.427206,10.940382,19.448954,11,12,0,0,0.600465,0,0.389484,0.158016,0.281768,0.718232,0.313082,0.559685,0.077949,0.057614,0.503185,0.361862,0.34058,0.36272
2016,Alabama,3,107.770234,97.517771,66.689844,21.5413,19.959482,12,5,0,0,0.40409,0,0.342896,0.199618,0.282236,0.717764,0.412426,0.468793,0.084346,0.079191,0.433136,0.356098,0.348044,0.388711
2016,Alabama A&M,9,102.827274,103.546798,67.136207,3.814848,2.021744,0,4,8,0,0.328768,0,0.292154,0.174632,0.329341,0.670659,0.393382,0.538913,0.083721,0.031331,0.367034,0.336557,0.319769,0.362745
2016,Alabama St,9,102.730036,103.287929,70.83629,5.058012,2.77414,1,3,5,0,0.66506,0,0.332303,0.168949,0.337381,0.662619,0.324818,0.478426,0.082425,0.049182,0.337331,0.344657,0.321126,0.365316
2016,Albany St,13,86.243475,114.860143,81.55,4.665161,-18.134837,0,0,0,0,0.004534,0,0.296296,0.208461,0.27907,0.72093,0.264706,0.56,0.073574,0.024525,0.397059,0.364534,0.363871,0.341016
2016,ALBION,10,86.762819,106.126433,61.175,14.371672,-0.428329,0,0,0,0,0.016599,0,0.318182,0.245198,0.392857,0.607143,0.254902,0.625,0.114426,0,0.431373,0.358559,0.372635,0.324113
2016,Alcorn St,10,99.342448,103.856093,68.520833,4.04579,-0.560878,0,2,3,0,0.666981,0,0.308511,0.208696,0.358543,0.641457,0.399408,0.393632,0.065187,0.053998,0.333728,0.334914,0.320084,0.366602
2016,Allen,13,88.214719,115.122695,77.605,4.635314,-15.564684,0,0,2,0,0.020205,0,0.346774,0.221635,0.27673,0.72327,0.331104,0.530973,0.103086,0.028349,0.414716,0.343116,0.337339,0.384145
2016,Alma,9,95.124049,107.139035,70.7,13.144887,1.344886,0,0,0,0,0.02655,0,0.344828,0.127298,0.292683,0.707317,0.176471,0.68,0.09901,0.042433,0.426471,0.459275,0.353547,0.315292
2016,American,9,96.060621,102.874677,61.958871,8.934179,1.559993,0,9,2,0,0.543491,0,0.340909,0.222833,0.249428,0.750572,0.316745,0.551506,0.091632,0.035924,0.384667,0.354808,0.347384,0.356778
2016,Angelo State,10,90.834955,94.214065,81.6,-3.076599,-0.876605,0,0,1,0,0.16045,0,0.291667,0.208333,0.301887,0.698113,0.219178,0.392857,0.073529,0.098039,0.328767,0.369743,0.334913,0.303738
